----------------------------------------------------------------------
history:
count  task_image                              img_coordinates   depth  priority   enqueue_time   exec_time  response_time  deadline    missed
1      ../dataset/frame_camera_0.png      (644,655), (729,720)  64.447         0              0           1       1.000       100         0
2      ../dataset/frame_camera_0.png      (571,667), (759,813)  29.453         1              0           3       4.000       100         0
3      ../dataset/frame_camera_0.png   (1322,764), (1920,1214)   9.532         2              0          27      31.000       100         0
4      ../dataset/frame_camera_1.png      (649,654), (733,718)  65.245         0            100           1       1.000       100         0
5      ../dataset/frame_camera_1.png      (577,666), (763,810)  29.802         1            100           3       4.000       100         0
6      ../dataset/frame_camera_1.png   (1326,763), (1920,1214)   9.502         2            100          27      31.000       100         0
7      ../dataset/frame_camera_2.png      (654,655), (737,718)  66.043         0            200           1       1.000       100         0
8      ../dataset/frame_camera_2.png      (584,666), (766,809)  30.152         1            200           3       4.000       100         0
9      ../dataset/frame_camera_2.png   (1330,763), (1920,1216)   9.474         2            200          27      31.000       100         0
10     ../dataset/frame_camera_3.png      (660,656), (741,718)  66.937         0            300           1       1.000       100         0
11     ../dataset/frame_camera_3.png      (589,668), (769,808)  30.531         1            300           3       4.000       100         0
12     ../dataset/frame_camera_3.png   (1333,765), (1920,1219)   9.447         2            300          27      31.000       100         0
13     ../dataset/frame_camera_4.png      (665,655), (745,717)  67.833         0            400           1       1.000       100         0
14     ../dataset/frame_camera_4.png      (595,667), (772,806)  30.913         1            400           3       4.000       100         0
15     ../dataset/frame_camera_4.png   (1337,764), (1920,1220)   9.424         2            400          27      31.000       100         0
16     ../dataset/frame_camera_5.png      (670,654), (749,714)  68.731         0            500           1       1.000       100         0
17     ../dataset/frame_camera_5.png      (600,666), (775,803)  31.296         1            500           3       4.000       100         0
18     ../dataset/frame_camera_5.png   (1339,763), (1920,1220)   9.398         2            500          27      31.000       100         0
19     ../dataset/frame_camera_6.png      (674,653), (752,712)  69.632         0            600           1       1.000       100         0
20     ../dataset/frame_camera_6.png      (605,665), (777,800)  31.681         1            600           3       4.000       100         0
21     ../dataset/frame_camera_6.png   (1341,764), (1920,1221)   9.374         2            600          27      31.000       100         0
22     ../dataset/frame_camera_7.png      (678,649), (755,708)  70.543         0            700           1       1.000       100         0
23     ../dataset/frame_camera_7.png      (609,663), (778,795)  32.077         1            700           3       4.000       100         0
24     ../dataset/frame_camera_7.png   (1342,762), (1920,1220)   9.362         2            700          27      31.000       100         0
25     ../dataset/frame_camera_8.png      (683,646), (758,704)  71.467         0            800           1       1.000       100         0
26     ../dataset/frame_camera_8.png      (614,659), (781,790)  32.485         1            800           3       4.000       100         0
27     ../dataset/frame_camera_8.png   (1343,759), (1920,1216)   9.360         2            800          27      31.000       100         0
28     ../dataset/frame_camera_9.png      (688,645), (762,702)  72.403         0            900           1       1.000       100         0
29     ../dataset/frame_camera_9.png      (619,658), (783,787)  32.905         1            900           3       4.000       100         0
30     ../dataset/frame_camera_9.png   (1344,757), (1920,1212)   9.371         2            900          27      31.000       100         0
31     ../dataset/frame_camera_10.png     (691,647), (764,704)  73.349         0           1000           1       1.000       100         0
32     ../dataset/frame_camera_10.png     (623,661), (785,788)  33.336         1           1000           3       4.000       100         0
33     ../dataset/frame_camera_10.png  (1344,757), (1920,1210)   9.391         2           1000          27      31.000       100         0
34     ../dataset/frame_camera_11.png     (693,652), (765,708)  74.296         0           1100           1       1.000       100         0
35     ../dataset/frame_camera_11.png     (627,664), (785,790)  33.780         1           1100           2       3.000       100         0
36     ../dataset/frame_camera_11.png  (1344,761), (1920,1216)   9.418         2           1100          27      30.000       100         0
37     ../dataset/frame_camera_12.png     (629,665), (785,789)  34.231         0           1200           2       2.000       100         0
38     ../dataset/frame_camera_12.png  (1343,764), (1920,1219)   9.453         1           1200          27      29.000       100         0
39     ../dataset/frame_camera_13.png     (630,663), (783,785)  34.686         0           1300           2       2.000       100         0
40     ../dataset/frame_camera_13.png  (1340,765), (1920,1218)   9.491         1           1300          27      29.000       100         0
41     ../dataset/frame_camera_14.png     (630,662), (781,782)  35.141         0           1400           2       2.000       100         0
42     ../dataset/frame_camera_14.png  (1337,765), (1920,1216)   9.529         1           1400          27      29.000       100         0
43     ../dataset/frame_camera_15.png     (632,663), (781,782)  35.598         0           1500           2       2.000       100         0
44     ../dataset/frame_camera_15.png  (1332,766), (1920,1216)   9.557         1           1500          27      29.000       100         0
45     ../dataset/frame_camera_16.png     (637,665), (783,783)  36.056         0           1600           2       2.000       100         0
46     ../dataset/frame_camera_16.png  (1331,764), (1920,1211)   9.594         1           1600          27      29.000       100         0
47     ../dataset/frame_camera_17.png     (643,666), (787,782)  36.515         0           1700           2       2.000       100         0
48     ../dataset/frame_camera_17.png  (1330,762), (1920,1206)   9.630         1           1700          27      29.000       100         0
49     ../dataset/frame_camera_18.png     (649,666), (791,781)  36.971         0           1800           2       2.000       100         0
50     ../dataset/frame_camera_18.png  (1330,760), (1920,1202)   9.662         1           1800          27      29.000       100         0
