NOTE: these details will need to be formatted into our final PDF but I'm adding them
      here for everyone to see.

Average Response Time: (sum of all response_time/198) = (2896146.000 / 198) = 14627 seconds
Total time for program to run: 1960.222815 seconds


      history:
      count  task_image                              img_coordinates   depth  priority   enqueue_time   exec_time  response_time  deadline    missed
      52     ../dataset/frame_camera_51.png       (0,0), (1920,1280)   0.000         0           5100         246    7692.000       100         1
      53     ../dataset/frame_camera_52.png       (0,0), (1920,1280)   0.000         0           5200         246    7838.000       100         1
      54     ../dataset/frame_camera_53.png       (0,0), (1920,1280)   0.000         0           5300         246    7984.000       100         1
      55     ../dataset/frame_camera_54.png       (0,0), (1920,1280)   0.000         0           5400         246    8130.000       100         1
      56     ../dataset/frame_camera_55.png       (0,0), (1920,1280)   0.000         0           5500         246    8276.000       100         1
      57     ../dataset/frame_camera_56.png       (0,0), (1920,1280)   0.000         0           5600         246    8422.000       100         1
      58     ../dataset/frame_camera_57.png       (0,0), (1920,1280)   0.000         0           5700         246    8568.000       100         1
      59     ../dataset/frame_camera_58.png       (0,0), (1920,1280)   0.000         0           5800         246    8714.000       100         1
      60     ../dataset/frame_camera_59.png       (0,0), (1920,1280)   0.000         0           5900         246    8860.000       100         1
      61     ../dataset/frame_camera_60.png       (0,0), (1920,1280)   0.000         0           6000         246    9006.000       100         1
      62     ../dataset/frame_camera_61.png       (0,0), (1920,1280)   0.000         0           6100         246    9152.000       100         1
      63     ../dataset/frame_camera_62.png       (0,0), (1920,1280)   0.000         0           6200         246    9298.000       100         1
      64     ../dataset/frame_camera_63.png       (0,0), (1920,1280)   0.000         0           6300         246    9444.000       100         1
      65     ../dataset/frame_camera_64.png       (0,0), (1920,1280)   0.000         0           6400         246    9590.000       100         1
      66     ../dataset/frame_camera_65.png       (0,0), (1920,1280)   0.000         0           6500         246    9736.000       100         1
      67     ../dataset/frame_camera_66.png       (0,0), (1920,1280)   0.000         0           6600         246    9882.000       100         1
      68     ../dataset/frame_camera_67.png       (0,0), (1920,1280)   0.000         0           6700         246   10028.000       100         1
      69     ../dataset/frame_camera_68.png       (0,0), (1920,1280)   0.000         0           6800         246   10174.000       100         1
      70     ../dataset/frame_camera_69.png       (0,0), (1920,1280)   0.000         0           6900         246   10320.000       100         1
      71     ../dataset/frame_camera_70.png       (0,0), (1920,1280)   0.000         0           7000         246   10466.000       100         1
      72     ../dataset/frame_camera_71.png       (0,0), (1920,1280)   0.000         0           7100         246   10612.000       100         1
      73     ../dataset/frame_camera_72.png       (0,0), (1920,1280)   0.000         0           7200         246   10758.000       100         1
      74     ../dataset/frame_camera_73.png       (0,0), (1920,1280)   0.000         0           7300         246   10904.000       100         1
      75     ../dataset/frame_camera_74.png       (0,0), (1920,1280)   0.000         0           7400         246   11050.000       100         1
      76     ../dataset/frame_camera_75.png       (0,0), (1920,1280)   0.000         0           7500         246   11196.000       100         1
      77     ../dataset/frame_camera_76.png       (0,0), (1920,1280)   0.000         0           7600         246   11342.000       100         1
      78     ../dataset/frame_camera_77.png       (0,0), (1920,1280)   0.000         0           7700         246   11488.000       100         1
      79     ../dataset/frame_camera_78.png       (0,0), (1920,1280)   0.000         0           7800         246   11634.000       100         1
      80     ../dataset/frame_camera_79.png       (0,0), (1920,1280)   0.000         0           7900         246   11780.000       100         1
      81     ../dataset/frame_camera_80.png       (0,0), (1920,1280)   0.000         0           8000         246   11926.000       100         1
      82     ../dataset/frame_camera_81.png       (0,0), (1920,1280)   0.000         0           8100         246   12072.000       100         1
      83     ../dataset/frame_camera_82.png       (0,0), (1920,1280)   0.000         0           8200         246   12218.000       100         1
      84     ../dataset/frame_camera_83.png       (0,0), (1920,1280)   0.000         0           8300         246   12364.000       100         1
      85     ../dataset/frame_camera_84.png       (0,0), (1920,1280)   0.000         0           8400         246   12510.000       100         1
      86     ../dataset/frame_camera_85.png       (0,0), (1920,1280)   0.000         0           8500         246   12656.000       100         1
      87     ../dataset/frame_camera_86.png       (0,0), (1920,1280)   0.000         0           8600         246   12802.000       100         1
      88     ../dataset/frame_camera_87.png       (0,0), (1920,1280)   0.000         0           8700         246   12948.000       100         1
      89     ../dataset/frame_camera_88.png       (0,0), (1920,1280)   0.000         0           8800         246   13094.000       100         1
      90     ../dataset/frame_camera_89.png       (0,0), (1920,1280)   0.000         0           8900         246   13240.000       100         1
      91     ../dataset/frame_camera_90.png       (0,0), (1920,1280)   0.000         0           9000         246   13386.000       100         1
      92     ../dataset/frame_camera_91.png       (0,0), (1920,1280)   0.000         0           9100         246   13532.000       100         1
      93     ../dataset/frame_camera_92.png       (0,0), (1920,1280)   0.000         0           9200         246   13678.000       100         1
      94     ../dataset/frame_camera_93.png       (0,0), (1920,1280)   0.000         0           9300         246   13824.000       100         1
      95     ../dataset/frame_camera_94.png       (0,0), (1920,1280)   0.000         0           9400         246   13970.000       100         1
      96     ../dataset/frame_camera_95.png       (0,0), (1920,1280)   0.000         0           9500         246   14116.000       100         1
      97     ../dataset/frame_camera_96.png       (0,0), (1920,1280)   0.000         0           9600         246   14262.000       100         1
      98     ../dataset/frame_camera_97.png       (0,0), (1920,1280)   0.000         0           9700         246   14408.000       100         1
      99     ../dataset/frame_camera_98.png       (0,0), (1920,1280)   0.000         0           9800         246   14554.000       100         1
      100    ../dataset/frame_camera_99.png       (0,0), (1920,1280)   0.000         0           9900         246   14700.000       100         1
      101    ../dataset/frame_camera_100.png       (0,0), (1920,1280)   0.000         0          10000         246   14846.000       100         1
      102    ../dataset/frame_camera_101.png       (0,0), (1920,1280)   0.000         0          10100         246   14992.000       100         1
      103    ../dataset/frame_camera_102.png       (0,0), (1920,1280)   0.000         0          10200         246   15138.000       100         1
      104    ../dataset/frame_camera_103.png       (0,0), (1920,1280)   0.000         0          10300         246   15284.000       100         1
      105    ../dataset/frame_camera_104.png       (0,0), (1920,1280)   0.000         0          10400         246   15430.000       100         1
      106    ../dataset/frame_camera_105.png       (0,0), (1920,1280)   0.000         0          10500         246   15576.000       100         1
      107    ../dataset/frame_camera_106.png       (0,0), (1920,1280)   0.000         0          10600         246   15722.000       100         1
      108    ../dataset/frame_camera_107.png       (0,0), (1920,1280)   0.000         0          10700         246   15868.000       100         1
      109    ../dataset/frame_camera_108.png       (0,0), (1920,1280)   0.000         0          10800         246   16014.000       100         1
      110    ../dataset/frame_camera_109.png       (0,0), (1920,1280)   0.000         0          10900         246   16160.000       100         1
      111    ../dataset/frame_camera_110.png       (0,0), (1920,1280)   0.000         0          11000         246   16306.000       100         1
